,Unnamed: 0,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,origin_input_default,scaled_adv_duration_in_month,scaled_adv_credit_amount,scaled_adv_installment_as_income_perc,scaled_adv_present_res_since,scaled_adv_age,scaled_adv_account_check_status,scaled_adv_credit_history,scaled_adv_purpose,scaled_adv_savings,scaled_adv_present_emp_since,scaled_adv_personal_status_sex,scaled_adv_other_debtors,scaled_adv_property,scaled_adv_other_installment_plans,scaled_adv_housing,scaled_adv_credits_this_bank,scaled_adv_job,scaled_adv_people_under_maintenance,scaled_adv_telephone,scaled_adv_foreign_worker,origin_adv_duration_in_month,origin_adv_credit_amount,origin_adv_installment_as_income_perc,origin_adv_present_res_since,origin_adv_age,origin_adv_account_check_status,origin_adv_credit_history,origin_adv_purpose,origin_adv_savings,origin_adv_present_emp_since,origin_adv_personal_status_sex,origin_adv_other_debtors,origin_adv_property,origin_adv_other_installment_plans,origin_adv_housing,origin_adv_credits_this_bank,origin_adv_job,origin_adv_people_under_maintenance,origin_adv_telephone,origin_adv_foreign_worker,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction,eval_L1,eval_L2,eval_Linf,eval_Sen,eval_Mahalanobis,eval_Sparsity,eval_Neighbour_Distance
0,0,0.2058823529411764,0.1617695609111918,0.3333333333333333,0.3333333333333333,0.0892857142857143,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,18.0,3190.0,2.0,2.0,24.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,0.2946598,0.30301976,0.3909635,0.33884177,0.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,24.036865,5757.081,2.1728904,2.0165253,19.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,0.0020091533660888,N,N,Y,N,Y,0.38245196376667956,0.19788019509025875,0.14125019908880823,0.40382137897761766,0.04109938793881209,5,0.1978801950902587
1,0,0.2058823529411764,0.2272477165181028,0.6666666666666667,1.0,0.2857142857142857,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,Y,18.0,4380.0,3.0,4.0,35.0,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,Y,0.11710492,0.08599749,0.60903656,0.9944916,0.38195464,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,11.963134,1812.9185,2.8271096,3.9834747,40.389458,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,0.0020091533660888,N,N,N,Y,N,0.3894065204116603,0.2011139889442095,0.14125022651810282,0.4106687093991261,0.0416763193923939,5,0.2011139889442095
2,0,0.2941176470588235,0.1141740948607901,0.3333333333333333,0.6666666666666667,0.2321428571428571,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,Y,24.0,2325.0000000000005,2.0,3.0,32.0,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,Y,0.20534022,0.0,0.2757032,0.66115826,0.32838318,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,17.963137,250.0,1.8271096,2.9834747,37.389458,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,0.0020091533660888,N,N,N,Y,N,0.36233038477675655,0.18311452713571275,0.1141740948607901,0.3758031243985437,0.03925876527037647,5,0.18311452713571275
3,0,0.1176470588235294,0.0576097722020468,0.6666666666666667,1.0,0.0714285714285714,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,N,11.999999999999998,1297.0,3.0,4.0,23.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,N,0.2064245,0.19885999,0.7242968,1.0,0.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,18.036865,3864.0815,3.1728907,4.0,19.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,0.0020091533660888,Y,Y,N,N,Y,0.3590863637363284,0.19041095339857736,0.1412502177979532,0.38324520541333407,0.03984143246812221,4,0.19041095339857733
4,0,0.4264705882352941,0.385330692197645,0.6666666666666667,0.3333333333333333,0.2857142857142857,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,33.0,7253.0,3.0,2.0,35.0,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,0.515248,0.5265809,0.7242968,0.33884177,0.18947396,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,39.036865,9820.082,3.1728907,2.0165253,29.61054,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,0.0020091533660888,Y,N,N,N,N,0.38940651528134657,0.20111396142478244,0.14125020780235503,0.41066866752021786,0.041676315734642665,5,0.20111396142478244
5,0,0.2941176470588235,0.1174204908110487,1.0,1.0,0.8035714285714286,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,N,24.0,2384.0,4.0,4.0,64.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,N,0.3828951,0.25867072,1.0,1.0,0.70733106,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,30.036867,4951.0815,4.0,4.0,58.610542,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,0.0020091533660888,Y,Y,N,N,Y,0.3262680507015564,0.1926013290177887,0.1412502291889513,0.3767655468660226,0.03920777405011352,3,0.19260132901778865
6,0,0.0294117647058823,0.1026741498844503,0.3333333333333333,0.3333333333333333,0.3928571428571428,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,5.999999999999999,2116.0,2.0,2.0,41.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.1181892,0.24392438,0.3909635,0.33884177,0.2966168,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,12.036865,4683.0815,2.1728904,2.0165253,35.610542,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,0.0020091533660888,Y,N,N,N,N,0.38940661160014356,0.20111400523806355,0.1412502301155497,0.41066875754530185,0.0416763271781669,5,0.20111400523806355
7,0,0.1176470588235294,0.018432926158248,1.0,1.0,0.0178571428571428,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,Y,11.999999999999998,585.0,4.0,4.0,20.0,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,Y,0.028869621,0.0,0.9423699,0.9944916,0.114097476,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,5.963134,250.0,3.8271096,3.9834747,25.389458,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,0.0020091533660888,N,N,N,Y,N,0.2665891971246346,0.14434326743317194,0.09624033314285721,0.2525185283753098,0.03366064713888664,5,0.1443432674331719
8,0,0.0735294117647058,0.1830637173984813,0.0,0.3333333333333333,0.125,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,N,9.0,3576.9999999999995,1.0,2.0,26.0,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,N,0.16230685,0.32431394,0.05763014,0.33884177,0.028759666,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,15.036865,6144.0815,1.1728904,2.0165253,20.610542,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,0.0020091533660888,Y,N,N,N,N,0.38940657150347957,0.2011139893790631,0.14125022260151873,0.41066872816401556,0.04167632236576008,5,0.20111398937906302
9,0,0.338235294117647,0.4601628700341146,0.3333333333333333,0.3333333333333333,0.1428571428571428,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,N,27.0,8613.0,2.0,2.0,27.0,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,N,0.42701274,0.60141313,0.3909635,0.33884177,0.046616815,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,33.036865,11180.082,2.1728904,2.0165253,21.610542,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,0.0020091533660888,Y,N,N,N,N,0.3894066370387145,0.20111402369902778,0.14125025996588536,0.41066879315602184,0.041676330146995524,5,0.20111402369902776
